,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
603,6,0,2,2,1,5,2,5,1
604,108,3,6,6,1,27,4,49,1
605,108,3,6,6,1,27,4,49,1
606,124,4,5,6,1,32,10,41,1
607,79,2,4,6,1,24,4,43,1
608,85,2,5,6,1,24,4,43,1
609,61,1,3,6,1,24,3,43,1
610,61,1,4,6,1,24,3,43,1
611,61,1,4,6,1,24,3,43,1
612,6,0,2,2,1,5,2,5,1
613,28,0,3,2,1,8,3,49,1
614,21,0,2,2,1,5,2,5,1
615,37,2,4,4,1,6,3,49,1
616,41,2,4,4,1,12,4,41,0
617,66,1,4,8,1,18,3,31,1
618,72,2,4,5,1,9,5,41,0
619,92,3,4,5,1,6,4,41,1
620,70,2,4,5,1,9,5,41,0
621,90,3,4,5,1,9,3,50,1
622,86,3,4,5,1,9,4,41,0
623,72,3,5,6,1,14,6,22,0
624,72,3,5,6,1,14,6,22,0
625,110,3,5,6,1,29,3,49,0
626,103,3,5,6,1,18,6,34,1
627,56,1,4,6,1,22,3,46,1
628,56,1,3,6,1,22,3,46,1
629,68,2,4,6,1,22,3,46,1
630,94,3,4,5,1,9,4,34,1
631,80,1,3,2,1,9,3,20,1
632,80,1,3,2,1,9,3,20,1
633,111,2,4,5,1,9,3,50,1
634,63,2,4,5,1,9,3,48,1
635,75,3,5,5,1,9,5,41,1
636,3,0,2,2,1,1,4,2,0
637,28,0,3,2,1,8,3,49,1
638,112,1,3,2,1,5,3,5,0
639,7,0,2,2,1,1,3,1,0
640,82,3,5,6,1,26,6,34,1
641,93,4,5,6,1,26,6,34,1
642,93,4,5,6,1,26,6,34,1
643,72,3,5,5,1,16,5,32,0
644,72,3,5,5,1,16,5,32,0
645,72,2,4,6,1,14,6,22,0
646,91,3,4,6,1,24,4,43,1
647,91,3,4,6,1,24,4,43,1
648,140,5,6,6,1,28,3,36,1
649,99,3,5,6,1,24,7,43,1
650,99,3,5,6,1,24,7,43,1
